filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/root/code/small_dataset/arithmetic/BECToken.sol,BECToken.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689123107.9237914,970.78954911232,0,{Integer_Overflow},{},{},{}
/root/code/small_dataset/arithmetic/buggy_1.sol,buggy_1.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689137774.0888398,1193.2983684539795,0,"{Block_Dependency,Integer_Overflow,Leaking_Ether,Transaction_Order_Dependency}",{},{},{}
/root/code/small_dataset/arithmetic/buggy_10.sol,buggy_10.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689117185.1354232,1192.7302923202515,0,"{Assertion_Failure,Block_Dependency,Integer_Overflow,Leaking_Ether,Transaction_Order_Dependency}",{},{},{}
/root/code/small_dataset/arithmetic/buggy_11.sol,buggy_11.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689085449.7668903,782.2217149734497,0,"{Block_Dependency,Integer_Overflow,Leaking_Ether,Transaction_Order_Dependency}",{},{},{}
/root/code/small_dataset/arithmetic/buggy_12.sol,buggy_12.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689102070.358091,789.0123634338379,0,"{Block_Dependency,Integer_Overflow,Leaking_Ether,Transaction_Order_Dependency}",{},{},{}
/root/code/small_dataset/arithmetic/buggy_13.sol,buggy_13.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689057110.0455866,1.4191350936889648,254,{},{},"{EXIT_CODE_254,Problem while deploying contract BitCash using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''}",{}
/root/code/small_dataset/arithmetic/buggy_14.sol,buggy_14.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689048402.1653197,783.6594979763031,0,"{Block_Dependency,Integer_Overflow,Leaking_Ether,Transaction_Order_Dependency}",{},{},{}
/root/code/small_dataset/arithmetic/buggy_15.sol,buggy_15.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689078954.7673914,1.323145866394043,254,{},{},"{EXIT_CODE_254,Problem while deploying contract MD using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''}",{}
/root/code/small_dataset/arithmetic/buggy_16.sol,buggy_16.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689053822.1216342,788.9529571533203,0,"{Block_Dependency,Integer_Overflow,Leaking_Ether,Transaction_Order_Dependency}",{},{},{}
/root/code/small_dataset/arithmetic/buggy_17.sol,buggy_17.sol,confuzzius,solidity,2022/12/31,20230711_0318,1689122688.2446315,295.56595611572266,254,"{Assertion_Failure,Block_Dependency,Integer_Overflow,Leaking_Ether,Transaction_Order_Dependency}",{},"{EXIT_CODE_254,Problem while deploying contract TokenERC20 using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''}",{}
